source,target,weight
LD.Ptepar_usersample,F12Navl.140828,1.0
LD.Ptepar_usersample,E1A06BAL1stReturn.481299,1.0
LD.Ptepar_usersample,E1A06Prewash1.481420,1.0
LD.Ptepar_usersample,saline11.15.481304,1.0
LD.Ptepar_usersample,M21Navl.140850,1.0
LD.Ptepar_usersample,M41Aptl.140841,1.0
LD.Ptepar_usersample,belly.U.T0.3.536391,1.0
LD.Ptepar_usersample,M42Navl.140564,1.0
LD.Ptepar_usersample,Bnf2.285940,1.0
LD.Ptepar_usersample,water8.24.481371,1.0
LD.Ptepar_usersample,M32Urin.140565,1.0
LD.Ptepar_usersample,F11Navl.140566,1.0
LD.Ptepar_usersample,M42Aptl.140537,1.0
LD.Ptepar_usersample,E1A02BALA.481383,1.0
LD.Ptepar_usersample,NR117A.994701,1.0
LD.Ptepar_usersample,water9.22.481240,1.0
LD.Ptepar_usersample,M42Aptr.140377,1.0
LD.Ptepar1.710963,LD.NBS1047C.710992,0.73206843810890532
LD.Ptepar1.710963,BD.ERD505.710945,0.76407753730826578
LD.Ptepar1.710963,LD.DTS1224.710958,0.77714128358140577
LD.Ptepar1.710963,LD.DTS1225.710993,0.78416595448813531
LD.Ptepar1.710963,BD.NBS1062.710926,0.78562558158755913
LD.Ptepar1.710963,LD.NBS1062E.710936,0.78919795906837742
LD.Ptepar1.710963,LD.Urobil1.711000,0.77969649297051968
LD.Ptepar1.710963,LD.Perkap1.710954,0.78428534897052204
LD.Ptepar1.710963,BD.ERD503.710979,0.7829355115995722
LD.Ptepar1.710963,LD.NBS1070E.710990,0.78886179267304446
LD.Ptepar1.710963,LD.NBS1049B.710931,0.78846592903692136
LD.Ptepar1.710963,LD.Glosor1.710919,0.789508857571669
LD.Ptepar1.710963,BD.NBS1076.710971,0.78883652478131361
LD.Ptepar1.710963,LD.NBS1073B.710977,0.78862965315368849
LD.Ptepar1.710963,LD.NBS1076E.711003,0.78929090353520071
LD.Ptepar1.710963,LD.QCAZ.M51303.711012,0.78974897642520325
LD.Ptepar1.710963,LD.NBS1081E.710921,0.79093774945771456
LD.Ptepar1.710963,LD.QCAZ.M51307.710925,0.78642647031800172
LD.Ptepar1.710963,BD.ERD501.710983,0.79178444547715776
LD.Ptepar1.710963,BD.NBS1073.710970,0.7178630280523598
LD.Ptepar1.710963,H17Kc.735879,0.76314728421999145
LD.Ptepar1.710963,LD.NBS1060E.710920,0.71606115484880473
LD.Ptepar1.710963,H61Di.735961,0.75453118065035152
LD.Ptepar1.710963,LD.NBS1055E.710939,0.73754891082511231
LD.Ptepar1.710963,pleural.T3.S5.536570,0.85136104911953814
LD.Ptepar1.710963,H62Kc.736031,0.75105581521763143
LD.Ptepar1.710963,pleural.T3.S1.536487,0.69251887441444782
LD.Ptepar1.710963,pleural.T7.S1.536577,0.95104438644096101
LD.Ptepar1.710963,H62Dh.735881,0.81360642323705901
LD.Ptepar1.710963,H62Cb.735970,0.82253309151651022
LD.Ptepar1.710963,H60Cb.735932,0.83404534471502478
LD.Ptepar1.710963,Ab.liq.T4.U1.536424,0.86385891125749736
LD.Ptepar1.710963,LD.QCAZ.M50991.710938,0.84044080009473032
LD.Ptepar1.710963,Ab.reswab.T0.S2.536485,0.92500148806406879
LD.Ptepar1.710963,H43Cb.735994,0.88436743120265549
LD.Ptepar1.710963,pleural.T0.reswab.S1.536285,0.93354745820076979
LD.Ptepar1.710963,7352.518512,0.89657270330016403
LD.Ptepar1.710963,H60Kc.735997,0.88374529237995192
LD.Ptepar1.710963,LD.Artlit1.711004,0.89405882293769612
LD.Ptepar1.710963,H59Do.736043,0.89488962632560143
LD.Ptepar1.710963,pleural.T7.S4.536283,0.91186147795410344
LD.Ptepar1.710963,H41Cb.735877,0.89365362737097753
LD.Ptepar1.710963,LD.NBS1072E.710985,0.9139774576172045
LD.Ptepar1.710963,H51Di.735910,0.89023617958902745
LD.Ptepar1.710963,H19Tv.736001,0.9003646858960026
LD.Ptepar1.710963,H34Kc.735939,0.91243695023427962
LD.Ptepar1.710963,pleural.T0.reswab.S2.536288,0.89811812169531868
LD.Ptepar1.710963,H60Do.735986,0.92341276765850433
LD.Ptepar1.710963,outsidemouthT1.U5.536389,0.93780233482235953
LD.Ptepar1.710963,H45Do.735878,0.91742550512082366
LD.Ptepar1.710963,belly.reswab.TO.U5.536670,0.97229003100639821
LD.Ptepar1.710963,outsidemouthT4.U1.536532,0.95363975671553902
LD.Ptepar1.710963,Ab.liq.T6.U2.536347,0.94236452049638031
LD.Ptepar1.710963,outsidemouthT4.S3.536664,0.81932469042018674
LD.Ptepar1.710963,Ab.liq.T4.S4.536374,0.93135104948309955
LD.Ptepar1.710963,outsidemouthT6.U4.536651,0.95538590908217191
LD.Ptepar1.710963,outsidemouthT7.U2.536211,0.95686162264142238
LD.Ptepar1.710963,H60Fr.736020,0.92050740137808273
